,Title,Shop_Name,Is_Ad,Star_Rating,Num_Reviews,Price,Is_Bestseller,Num_Sales,Num_Basket,Description,Days_to_Arrival,Cost_Delivery,Returns_Accepted,Dispatched_From,Num_Images,Category
53,"Donald Trump Funny Birthday Card, Lockdown Card, Funny Virus Birthday Cards for Him, Greetings Card, for Her, Boyfriend, Girlfriend",77,0,5,"3,875",3.20,1,"38,114",20,"Donald Trump Funny Birthday Card, Lockdown Card, Funny Virus Birthday Cards for Him, Greetings Card, for Her, Boyfriend, Girlfriend  - 3 for 2 OFFER! - Buy ANY two cards from NotNiceThings and when you place your order, leave an order note telling us which third card youd like us to include from our",2.0,0.76,1,United Kingdom,4,birthday card
54,"Happy Birthday From The Best Decision You Ever Made - Funny Birthday Card, Cheeky, Romantic Birthday Card, For Him, For Her",22,0,5,"1,652",2.50,1,"17,732",14," A6 size card: 4.1 x 5.8 inches approx. Fun and unique greeting cards.  💌 WHAT YOURE BUYING 💌  - CARD SIZE: 4.1 x 5.8 INCHES. - Matte white, 300gsm card. - Blank inside. - Professional print. - Quality Kraft envelope. - Packaged within a cello sleeve for protection.  📫 DELIVERY 📫  Our cards are",,1.0,1,United Kingdom,1,birthday card
55,"Butterfly Daughter Card, Daughter Birthday Card, Hydrangea Daughter Card, Daughter Flower card, Beautiful Daughter Card,",55,0,5,"3,407",3.49,1,"24,974",20,We strongly recommend to upgrade to first class post because second class post can take up to 7 - 10 days due to COVID.  USA ORDERS - INTERNATIONAL DELIVERY IS TAKING UP TO 3 WEEKS. PLEASE DO NOT ORDER IF YOU NEED YOUR CARD QUICKLY.  This vibrant digitally printed card (NOT 3D) shows a blue,4.0,0.0,1,United Kingdom,4,birthday card
56,ANY AGE / RELATION Birthday Card - 10th 11th 12th 13th - Niece Granddaughter etc - Personalised Handmade,31,0,5,"1,685",3.90,1,"16,035",20,"Stunning Personalised Birthday Card, with lovely star design and embellished with clear gems Please let me know the personalisation details youd like on the card. *Name *Age *Relationship  Printed on high quality 300gsm white card Size 148mm x 148mm square Supplied with quality 100gsm diamond flap",4.0,0.0,1,United Kingdom,2,birthday card
57,Personalised Birthday Card Laser Paper Cut Greeting Cards | Happy Birthday Age Card | Any Name Any Age 1st 16th 21st 30th 50th 70th 80th,82,0,5,"6,129",3.99,1,"77,232",20,"Personalised Birthday Card Laser Paper Cut Greeting Cards | Happy Birthday Age Card | Any Name Any Age 1st 16th 21st 30th 50th 70th 80th 100th  Elite design personalised papercut birthday card, perfect for happy birthday greeting  Size: A5 (21 * 15 cm) Handmade in UK  Personalised with the happy",6.0,0.99,0,United Kingdom,6,birthday card
58,40th Birthday Card. 1980 Personalised Birthday Card and Gift Tag. Free U.K. P&P.,35,0,5,"1,113",4.00,1,"8,218",20,For all those who are 40 this year...Remind them with a big bright card with 1980 on it. Personalised with the name of your choice along the bottom and in the mini square above. Sit back whilst they enjoy finding out they are the same age as Pac Man and Crunchy Nut Cornflakes  We can add a,2.0,0.0,1,United Kingdom,4,birthday card
59,"Happy Birthday, u Chickie Nuggie Birthday Card - Chicken Nugget - Baby Yoda - Cute Greeting Card - Funny Card - Food Card - Chicky Nuggies",138,0,5,264,2.75,1,"2,034",20,"‘Happy Birthday You Chickie Nuggie’ Character Greeting Card DETAILS: - A6 portrait greeting card, printed on 300gsm card. - Recycled kraft envelope included. - Cards are blank inside. - Customised printed messages inside are NOT available. However, I can handwrite your messages at no extra fee. ",3.0,1.0,0,United Kingdom,1,birthday card
60,Troy and Abed Birthday Card,42,0,5,"2,091",2.95,1,"17,213",20,FREE SHIPPING on all greetings cards via First Class Royal Mail. The card has been left blank inside for you to add your own personal message by hand. Posted in a board backed envelope to ensure your cards stay flat during shipping As a company we work with Offset Earth to plant trees to reduce our,2.0,0.0,0,United Kingdom,3,birthday card
61,"Personalised Birthday Card, Modern Birthday Card, Happy Birthday Card, Simple Birthday Card, Greetings Card, Card for Her, Card for Him",26,0,5,"1,301",3.25,1,"9,482",16,Simple Modern Birthday Card  ♥ S I Z E - A N D - M A T E R I A L S ♥ All our everyday cards are printed on textured subtle white Italian 300gsm cardstock and come complete with a decorative Kraft envelope.  They measure approximately 150mm x 150mm (6 x 6).   ♥ P E R S O N A L I S A T I O N ♥ You,5.0,0.9,0,United Kingdom,1,birthday card
62,"Personalised Birthday Card - The One Where (name) is Quarantine, Friends TV Show, Lockdown, Social Distance",29,0,5,600,3.75,1,"6,272",4,**LAST POSTING DATES FOR GUARANTEED CHRISTMAS DELIVERY** ************************************** UK 16TH DECEMBER  EUROPE 12TH DECEMBER  CANADA/USA 3RD DECEMBER  AUSTRALIA & REST OF WORLD 1ST DECEMBER *************************************Personalised Birthday Card in Friends TV show theme  The One,4.0,0.0,0,United Kingdom,8,birthday card
63,"Personalised 70th Birthday Card, English Pressed Flower PRINT, 70th Floral Birthday Card, 70th Birthday Card For Gardeners",98,0,5,995,3.50,1,"7,264",20,"This 70th Birthday Card is a pretty English Pressed Flower PRINT, designed for the gardener. There are NO REAL flowers on this card.  Size 172 x 123 mm approx. 7 x 5 inches. Design PRINTED on 300 gsm matt white card. Comes with white envelope. The pre- printed greeting inside the card is Happy",2.0,0.0,1,United Kingdom,8,birthday card
